otu sim del ins mis len score hit i
denovo264  96.82  4  4  1 283 1296.5 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo659  98.92  0  1  2 278 1338.0 C15.23_KC597697 56
denovo269  95.62  1  2  8 251 1136.0 A8_AY258468 56
denovo797  97.79  4  0  2 271 1294.5 D1.11_HE579040 56
denovo488  95.41  3  2  8 283 1275.0 C3k_AY589737 56
denovo521  95.41  5  2  6 283 1271.5 C3k_AY589737 56
denovo520  98.23  0  4  1 283 1338.5 C3_multiple 56
denovo523  97.53  5  2  0 283 1331.5 C15.6_FN563472;C15.22_KC597695 56
denovo522  97.17  2  2  4 283 1321.0 C3_multiple 56
denovo482  98.59  1  2  1 283 1238.0 C15.1_FJ461508 56
denovo483  98.08  1  2  2 261 1245.5 D2_AY686649 56
denovo481  98.59  1  2  1 283 1364.5 C15.6_FN563472;C15.22_KC597695 56
denovo486  99.23  1  1  0 261 1279.0 D2_AY686649 56
denovo487  96.47  6  1  3 283 1309.0 C3k_AY589737 56
denovo484  98.94  2  1  0 283 1378.5 C15.6_FN563472;C15.22_KC597695 56
denovo413  93.99  4  2 11 283 1230.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo415  95.52  3  4  5 268 1178.5 C3k_AY589737 56
denovo414  96.48  6  1  3 284 1314.5 C1103_AF427470;C1054_AY186565 56
denovo416  96.47  5  3  2 283 1297.5 C1d_AY258488 56
denovo419  96.11  4  4  3 283 1278.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo638  96.47  2  2  6 283 1307.5 C3k_AY589737 56
denovo732  99.29  1  0  1 280 1368.5 C15.23_KC597697 56
denovo734  98.23  0  2  3 283 1351.5 C3k_AY589737 56
denovo735  96.09  6  1  4 281 1274.0 C3k_AY589737 56
denovo736  98.04  2  2  1 255 1208.5 A1_AF333505 56
denovo630  96.52  6  2  2 287 1306.5 C55_AY589759 56
denovo635  98.59  1  2  1 283 1364.5 C15.6_FN563472;C15.22_KC597695 56
denovo634  97.88  2  2  2 283 1224.0 C15.1_FJ461508 56
denovo784  96.95  3  3  2 262 1188.0 C40_AY258485 56
denovo798  97.05  5  2  1 271 1257.0 D1a_multiple;D120_EU074900 56
denovo649  98.04  2  2  1 255 1208.5 A1.4_HE578977 56
denovo132  98.80  0  1  2 251 1216.0 A7_AY239360 56
denovo133  98.44  1  1  2 257 1217.0 C15.23_KC597697 56
denovo131  98.89  0  2  1 271 1309.5 D1_multiple 56
denovo136  96.82  1  5  3 283 1293.0 C3k_AY589737 56
denovo137  97.17  3  3  2 283 1313.5 C3k_AY589737 56
denovo134  96.58  6  2  1 263 1198.0 D1a_multiple;D120_EU074900 56
denovo58  97.61  0  3  3 251 1176.0 A7_AY239360 56
denovo59  97.17  1  3  4 283 1316.5 C3k_AY589737 56
denovo56  97.54  3  2  2 284 1334.0 C15.23_KC597697 56
denovo57  96.31  1  2  7 271 1245.0 D1a_multiple 56
denovo55  97.65  3  1  2 255 1204.5 A1_AF333505 56
denovo52  95.82  5  2  4 263 1175.5 D106_AF174559 56
denovo50  97.09  5  2  1 275 1262.5 C15.23_KC597697 56
denovo653  97.70  0  2  4 261 1232.5 D2_AY686649 56
denovo868  97.84  4  0  2 278 1317.5 C15a_AY258476;C15_AY239369 56
denovo869  96.08  6  1  3 255 1164.0 A1_AF333505 56
denovo708  96.82  3  3  3 283 1310.0 C3k_AY589737 56
denovo860  98.22  2  2  0 225 1034.0 C1169_AB294660 56
denovo861  98.94  0  1  2 283 1376.0 C29_AY258494 56
denovo862  96.47  5  1  4 283 1310.5 C3_multiple;C1012_DQ480604;C3f_AY589734 56
denovo652  98.23  0  3  2 283 1345.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo866  98.94  1  2  0 283 1373.5 C1d_AY258488 56
denovo867  97.88  1  2  3 283 1088.0 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo1  95.37  3  2  8 281 1259.5 C15a_AY258476 56
denovo3  97.53  3  1  3 283 1341.0 C15_AY239369 56
denovo4  96.80  8  0  1 281 1301.0 C15_AY239369 56
denovo228  98.61  2  2  0 287 1383.0 G100_AB253788 56
denovo229  96.68  7  1  1 271 1235.0 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo226  96.34  5  3  2 273 1226.5 C15.23_KC597697 56
denovo224  99.64  0  1  0 277 1356.5 C3k_AY589737 56
denovo225  96.11  4  2  5 283 1297.0 C15.4_FJ461511 56
denovo220  97.63  4  2  0 253 1166.5 C15.23_KC597697 56
denovo221  97.69  5  0  1 260 1217.0 C15_AY239369 56
denovo700  98.58  0  1  3 282 1362.0 C3b_AF499791 56
denovo703  96.14  6  1  2 233 1033.5 C3k_AY589737 56
denovo702  97.88  1  1  4 283 1353.0 C3k_AY589737 56
denovo582  98.94  0  3  0 283 1368.5 C15_AY239369 56
denovo705  97.17  1  4  3 283 1315.5 C3k_AY589737 56
denovo890  95.94  7  2  2 271 1225.0 D1_multiple 56
denovo704  97.49  3  1  3 279 1308.5 C3k_AY589737 56
denovo707  96.11  3  5  3 283 1277.0 C3k_AY589737 56
denovo706  97.53  2  3  2 283 1329.5 C3k_AY589737 56
denovo595  98.58  0  2  2 282 1355.5 C3b_AF499791 56
denovo597  98.23  1  1  3 283 1362.0 C3k_AY589737 56
denovo458  95.41  7  2  4 283 1267.5 C1232_EU118163 56
denovo592  98.52  1  2  1 271 1299.0 D1_multiple 56
denovo451  95.76  4  5  3 283 1268.5 C1d_AY258488 56
denovo450  96.25  7  1  2 267 1204.0 C15.23_KC597697 56
denovo353  96.93  0  1  7 261 1226.5 D2_AY686649 56
denovo356  98.59  1  2  1 283 1364.5 C15.6_FN563472;C15.22_KC597695 56
denovo354  98.23  3  1  1 283 1358.5 C15_AY239369;C15.22_KC597695 56
denovo355  98.84  1  1  0 172  769.5 C3.9_FJ461504 56
denovo293  96.82  0  2  7 283 1315.5 C15a_AY258476;C15.4_FJ461511 56
denovo291  97.17  0  3  5 283 1323.5 C15_AY239369;C15.22_KC597695 56
denovo290  97.54  0  3  4 284 1332.0 C15.23_KC597697 56
denovo297  98.23  1  2  2 283 1342.5 C3k_AY589737 56
denovo296  96.82  3  1  5 283 1323.0 C3k_AY589737 56
denovo295  97.32  2  2  3 261 1204.5 C15.23_KC597697 56
denovo294  97.87  2  1  3 282 1336.0 C15_AY239369;C15.22_KC597695 56
denovo578  94.85 10  2  2 272 1189.0 C3k_AY589737 56
denovo579  96.45  7  2  1 282 1296.0 C3b_AF499791 56
denovo671  95.41  8  3  2 283 1265.5 C1d_AY258488 56
denovo673  94.98  8  4  2 279 1219.0 C1d_AY258488 56
denovo672  94.70  9  4  2 283 1240.0 C1d_AY258488 56
denovo571  99.29  0  1  1 280 1370.0 C31_AY258496;C31a_AY589746 56
denovo576  97.70  0  5  8 566 1514.5 C1_multiple 56
denovo577  95.79  8  0  0 190  809.5 C3k_AY589737 56
denovo688  97.67  1  1  2 172  751.5 C3.9_FJ461504 56
denovo689  97.43  2  2  3 272 1257.5 C3k_AY589737 56
denovo680  97.14  1  2  1 140  566.0 C21.12_FJ461514 56
denovo681  94.35  8  3  2 230  959.5 C3k_AY589737 56
denovo682  97.17  6  0  2 283 1334.0 C1232_EU118163 56
denovo684  95.31 11  2  0 277 1225.5 C1d_AY258488 56
denovo686  99.65  0  1  0 284 1404.5 C15.23_KC597697 56
denovo177  97.83  3  1  2 276 1315.0 C21/3d/C3k_AY239372 56
denovo174  98.94  1  2  0 283 1373.5 C15_AY239369;C15.22_KC597695 56
denovo175  95.76  4  4  4 283 1269.5 C3k_AY589737 56
denovo172  94.40 10  3  2 268 1147.5 C3b_AF499791 56
denovo171  99.64  0  1  0 276 1364.5 C21/3d/C3k_AY239372 56
denovo178  97.25  1  4  2 255 1179.0 A1_AF333505 56
denovo179  99.62  0  1  0 261 1289.5 D2_AY686649 56
denovo709  96.47  1  2  7 283 1277.5 C3a_AF499790 56
denovo18  97.17  1  3  4 283 1239.5 C3_multiple;C3.7_FJ461502;C1011_DQ480605;C1114_AB207196;C1190_EU099841;C1182_AB294649 56
denovo19  98.55  2  1  1 276 1329.0 C21.12_FJ461514 56
denovo12  97.17  4  2  2 283 1076.0 C3k_AY589737 56
denovo13  96.44  7  1  2 281 1280.5 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo10  98.94  1  1  1 283 1380.0 C15a_AY258476;C15_AY239369 56
denovo16  96.64  2  2  4 238 1064.0 C3k_AY589737 56
denovo14  96.69  2  3  4 272 1235.0 C1018_DQ335408;C1019_DQ335407 56
denovo15  98.59  0  2  2 284 1371.0 C15.23_KC597697 56
denovo738  96.08  3  2  5 255 1161.0 A1.3_HE578976 56
denovo778  98.23  1  4  0 283 1111.5 C15.6_FN563472 56
denovo779  96.21  5  1  4 264 1191.0 C3k_AY589737 56
denovo774  99.26  0  2  0 271 1186.5 D1_multiple;D1a_multiple;D111_AF174560;D103_AF174575;D108_AF174567;D1a.1_JF683338;D118_EF656435;D1.12_HE579041;D123_EU074895 56
denovo776  96.15  5  1  4 260 1168.5 C3k_AY589737 56
denovo479  93.99  0  4 13 283 1115.0 C15_AY239369;C1101_AB253787;C15.1_FJ461508;C1088_DQ182640;C15.22_KC597695 56
denovo772  96.60  5  2  2 265 1204.5 C15.4_FJ461511 56
denovo773  95.41  3  3  7 283 1274.0 C3k_AY589737 56
denovo824  97.40  4  1  1 231 1056.0 C21.12_FJ461514 56
denovo600  96.06  2  2  1 127  486.0 C3k_AY589737 56
denovo826  99.63  0  1  0 271 1339.5 D1_multiple 56
denovo478  98.59  0  3  1 283 1354.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo820  95.98  7  2  1 249 1112.5 A1_AF333505 56
denovo821  99.60  0  1  0 251 1239.5 A3/A6_multiple 56
denovo822  96.86  2  3  3 255 1174.0 A1_AF333505 56
denovo601  95.81  3  2  4 215  414.0 C1229_EU074888 56
denovo828  95.63  4  3  3 229  992.5 C3k_AY589737 56
denovo829  96.15  5  2  3 260 1167.5 C3k_AY589737 56
denovo899  97.13  3  3  2 279 1281.5 C3k_AY589737 56
denovo818  94.78  9  2  2 249 1082.5 A103_AB207206;A1_AF333505 56
denovo351  95.02  4  4  5 261 1128.5 C3k_AY589737 56
denovo608  96.99  2  1  5 266 1224.5 C3k_AY589737 56
denovo248  96.80  6  1  2 281 1292.0 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo816  98.04  0  2  3 255 1211.5 A1.4_HE578977 56
denovo782  97.43  5  2  0 272 1261.0 C15.22_KC597695 56
denovo249  97.88  1  1  4 283 1353.0 C3_multiple 56
denovo910  98.59  0  1  3 283 1372.5 C3k_AY589737 56
denovo911  95.94  8  2  1 271 1214.5 C3k_AY589737 56
denovo913  96.90  6  1  0 226 1027.0 A1_AF333505 56
denovo916  96.83  6  0  2 252 1153.0 C3k_AY589737 56
denovo917  97.59  1  1  2 166  668.0 C3k_AY589737 56
denovo851  95.76  3  0  9 283 1297.0 C1232_EU118163 56
denovo852  97.99  3  0  0 149  636.0 C1d_AY258488;C42_AY765402 56
denovo529  96.71  5  1  2 243 1093.5 C15a_AY258476;C1233_EU118166;C15_AY239369;C15.4_FJ461511;C15.6_FN563472;C15.22_KC597695 56
denovo854  97.18  4  2  2 284 1323.5 C15.23_KC597697 56
denovo856  95.67  7  1  4 277 1247.0 C3k_AY589737 56
denovo318  96.47  2  5  2 255 1158.5 A1.4_HE578977 56
denovo319  96.09  3  3  1 179  746.0 C1d_AY258488;C42_AY765402 56
denovo316  97.61  0  2  4 251 1188.0 A16_EU792888;A7_AY239360 56
denovo314  97.91  4  1  1 287 1357.5 C55_AY589759 56
denovo315  97.88  1  5  0 283 1101.5 C15.6_FN563472 56
denovo313  99.28  0  1  1 276 1355.5 C21/3d/C3k_AY239372 56
denovo310  94.65 11  1  1 243 1058.0 A1.4_HE578977 56
denovo311  98.03  4  1  0 254 1202.0 A1.4_HE578977 56
denovo256  98.23  1  1  3 283 1362.0 C3k_AY589737 56
denovo255  96.96  6  1  0 230 1049.0 A1_AF333505 56
denovo254  96.40  4  2  3 250 1122.5 C1201_EU099793 56
denovo253  97.65  3  1  2 255 1210.0 A1_AF333505 56
denovo252  99.61  1  0  0 255 1264.5 A1_AF333505 56
denovo251  98.01  1  2  2 251 1195.5 A3/A6_multiple 56
denovo250  98.43  2  2  0 255 1223.0 A1_AF333505 56
denovo242  98.55  2  2  0 276 1328.0 C21.12_FJ461514 56
denovo532  97.88  0  1  5 283 1349.0 C3k_AY589737 56
denovo533  96.50  6  0  3 257 1172.0 C3k_AY589737 56
denovo530  96.82  3  3  3 283 1304.0 C15.9_FN563475 56
denovo531  95.69  1  3  7 255 1149.5 A1_AF333505 56
denovo827  98.94  0  2  1 284 1380.0 C15.23_KC597697 56
denovo878  96.73  7  1  1 275 1257.5 C1233_EU118166;C15_AY239369;C15.6_FN563472;C15.22_KC597695 56
denovo823  99.29  1  0  1 283 1395.5 C3_multiple;C3e_AF499793 56
denovo692  98.18  0  1  4 274 1304.0 C3k_AY589737 56
denovo402  98.01  1  2  2 251 1195.5 A7_AY239360 56
denovo403  98.82  1  1  1 255 1240.0 A1_AF333505 56
denovo400  95.62  2  3  6 251 1133.0 A8_AY258468 56
denovo406  98.15  1  3  2 324 1385.5 C49_AY589754 56
denovo404  99.64  0  1  0 280 1384.5 C31.2_JF683332 56
denovo405  97.61  0  1  5 251 1189.0 A8_AY258468 56
denovo745  98.09  3  0  2 262 1246.0 D106_AF174559 56
denovo744  97.67  2  3  1 257 1185.5 C15.9_FN563475 56
denovo628  97.42  4  2  1 271 1272.5 D106_AF174559 56
denovo740  95.41  3  3  7 283 1263.0 C3k_AY589737 56
denovo743  98.59  0  2  2 283 1311.0 C15_AY239369;C15.22_KC597695 56
denovo742  97.53  1  2  4 283 1337.5 C3k_AY589737 56
denovo622  95.41  2  5  6 283 1257.0 C3k_AY589737 56
denovo623  96.47  1  4  5 283 1215.0 C3_multiple;C3.7_FJ461502;C1011_DQ480605;C1114_AB207196;C1190_EU099841;C1182_AB294649 56
denovo621  97.79  2  2  2 271 1279.5 D106_AF174559 56
denovo627  97.17  2  4  2 283 1318.0 C1d_AY258488 56
denovo624  98.83  2  1  0 257 1225.0 C15.23_KC597697 56
denovo625  96.48  4  4  2 284 1297.5 C15.23_KC597697 56
denovo644  96.62  1  2  5 237 1060.5 C3b_AF499791 56
denovo645  95.94  1  1  9 271 1242.5 D1_multiple 56
denovo646  97.54  2  2  3 284 1341.0 C15.23_KC597697 56
denovo647  97.25  3  2  2 255 1189.0 A127_EF656429;A1.4_HE578977 56
denovo641  98.13  3  1  1 268 1266.0 C15_AY239369;C15.22_KC597695 56
denovo642  97.37  4  1  1 228 1030.5 C3.11_FJ461506 56
denovo109  96.13  3  5  3 284 1278.0 C2_AF333518 56
denovo108  96.13  5  4  2 284 1281.5 C15.23_KC597697 56
denovo106  98.41  1  2  2 314 1330.5 C49_AY589754 56
denovo104  97.53  2  2  3 283 1281.0 C3k_AY589737 56
denovo103  96.47  1  3  6 283 1265.5 C3_multiple;C3.7_FJ461502;C1026_DQ335366;C70_AY589774;C1012_DQ480604;C1031_DQ335352;C3j_AY239366 56
denovo102  96.47  4  1  5 283 1305.5 C3k_AY589737 56
denovo100  99.29  0  1  1 283 1269.5 C15_AY239369 56
denovo40  98.21  0  1  4 280 1343.0 C31_AY258496;C31a_AY589746 56
denovo43  95.94  6  2  3 271 1228.0 D1_multiple 56
denovo45  97.79  2  2  2 271 1276.5 D106_AF174559 56
denovo44  96.31  6  2  2 271 1242.5 D1_multiple 56
denovo46  98.59  1  2  1 283 1359.0 C3_multiple 56
denovo49  96.47  7  0  3 283 1314.5 C3k_AY589737 56
denovo697  97.88  2  2  2 283 1345.0 C3k_AY589737 56
denovo696  96.82  0  6  3 283 1289.5 C3k_AY589737 56
denovo695  99.29  0  2  0 283 1384.0 C3_multiple 56
denovo694  97.17  1  2  5 283 1328.5 C3k_AY589737 56
denovo518  96.83  0  3  6 284 1237.0 C1054_AY186565 56
denovo519  97.17  2  3  3 283 1313.5 C3k_AY589737 56
denovo819  95.29  5  5  2 255 1121.5 A1_AF333505 56
denovo815  96.47  5  1  3 255 1174.0 A1_AF333505 56
denovo814  98.94  0  1  2 283 1381.5 C3k_AY589737 56
denovo817  97.25  2  3  2 255 1167.5 A127_EF656429;A1_AF333505 56
denovo811  98.94  0  2  1 283 1375.0 C15.6_FN563472;C15.22_KC597695 56
denovo810  98.59  0  1  3 283 1372.5 C3k_AY589737 56
denovo813  97.17  4  2  2 283 1324.0 C15a_AY258476 56
denovo812  98.46  1  2  1 260 1222.0 C15.23_KC597697 56
denovo550  98.58  1  1  2 281 1363.0 C3.9_FJ461504 56
denovo217  94.40 11  2  2 268 1137.5 C55_AY589759 56
denovo216  98.59  1  2  1 284 1364.0 C15.23_KC597697 56
denovo215  96.57  6  0  2 233 1049.0 C3k_AY589737 56
denovo219  97.42  0  1  6 271 1280.0 D1a_multiple 56
denovo699  95.36  6  2  5 280 1244.0 C3b_AF499791 56
denovo859  96.44  9  1  0 281 1284.0 C3k_AY589737 56
denovo551  96.47  1  3  6 283 1084.0 C3k_AY589737 56
